ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
走饭,她,13,13,0,13,0,0,100.0
走饭,一直,11,11,0,11,0,0,100.0
走饭,得,16,16,0,16,0,0,100.0
走饭,宝宝,14,14,0,14,0,0,100.0
走饭,那么,13,13,0,13,0,0,100.0
走饭,难过,13,13,0,13,0,0,100.0
走饭,这个,20,20,0,20,0,0,100.0
走饭,为什么,16,16,1,15,0,1,88.23529411764706
走饭,死,15,15,1,14,0,1,87.5
走饭,走,15,15,1,14,0,1,87.5
走饭,抑郁症,14,14,1,13,0,1,86.66666666666667
走饭,把,14,14,1,13,0,1,86.66666666666667
走饭,上,13,13,1,12,0,1,85.71428571428571
走饭,再,12,12,1,11,0,1,84.61538461538461
走饭,朋友,11,11,1,10,0,1,83.33333333333334
走饭,抑郁,11,11,1,10,0,1,83.33333333333334
走饭,觉得,32,31,3,29,1,2,82.35294117647058
走饭,比,11,10,1,10,1,0,81.81818181818183
走饭,人,46,46,5,41,0,5,80.3921568627451
走饭,现在,27,27,3,24,0,3,80.0
走饭,世界,26,26,3,23,0,3,79.3103448275862
走饭,可是,16,16,2,14,0,2,77.77777777777779
走饭,开心,16,16,2,14,0,2,77.77777777777779
走饭,就是,22,22,3,19,0,3,76.0
走饭,每天,15,14,2,13,1,1,75.0
走饭,时候,16,14,2,14,2,0,75.0
走饭,别人,15,14,2,13,1,1,75.0
走饭,痛苦,13,13,2,11,0,2,73.33333333333333
走饭,也不,13,13,2,11,0,2,73.33333333333333
走饭,都是,12,12,2,10,0,2,71.42857142857143
走饭,自己,59,58,10,49,1,9,70.58823529411765
走饭,什么,17,17,3,14,0,3,70.0
走饭,不想,11,11,2,9,0,2,69.23076923076923
走饭,如果,13,11,2,11,2,0,69.23076923076923
走饭,爱,11,10,2,9,1,1,66.66666666666666
走饭,好,21,19,4,17,2,2,65.21739130434783
走饭,已经,14,14,3,11,0,3,64.70588235294117
走饭,真的,29,28,6,23,1,5,64.70588235294117
走饭,今天,14,14,3,11,0,3,64.70588235294117
走饭,我,410,402,89,321,8,81,63.747454175152754
走饭,没有,28,27,6,22,1,5,63.63636363636363
走饭,他们,27,27,6,21,0,6,63.63636363636363
走饭,说,40,39,10,30,1,9,59.183673469387756
走饭,想,41,41,11,30,0,11,57.692307692307686
走饭,一个,26,26,7,19,0,7,57.57575757575758
走饭,这里,12,11,3,9,1,2,57.14285714285714
